id,Name,Brand,Category,SubCategory,Price,Size,Quantity
1,Premia Badam (Almonds),Premia,Grocery,Grocery/Dry Fruits,451.0,500 gm,119
2,Premia Badam (Almonds),Premia,Grocery,Grocery/Dry Fruits,109.0,100 gm,133
3,Premia Badam (Almonds),Premia,Grocery,Grocery/Dry Fruits,202.0,200 gm,56
4,Nutraj California Almonds (Badam),Nutraj,Grocery,Dry Fruits,599.0,500 gm,29
5,Nutraj California Almonds (Badam),Nutraj,Grocery,Dry Fruits,1549.0,1 kg,70
6,Chana Dal,,Grocery,Dals,49.0,500 gm,128
7,Chana Dal,,Grocery,Dals,96.0,1 kg,82
8,Rajma White,,Grocery,Pulses,112.0,500 gm,31
9,Rajma Kashmiri Red,,Grocery,Pulses,101.0,500 gm,85
10,Premia Mamra Badam,Premia,Grocery,Dry Fruits,634.0,200 gm,143
11,Tata Sampann Chana Dal,Tata,Grocery,Dals,64.0,500 gm,62
12,Tata Sampann Chana Dal,Tata,Grocery,Dals,125.0,1 kg,125
13,Rajma Red Small,,Grocery,Pulses,61.0,500 gm,58
14,Nutraj Almond,Nutraj,Grocery,Dry Fruits,299.0,200 gm,133
15,Satyam Rajma Pink,Satyam,Grocery,Pulses,149.0,500 gm,46
16,KMK Almond Mamra (Badam),KMK,Grocery,Dry Fruits,750.0,200 gm,112
17,DMart Healthy Choice Unpolished Chana Dal,DMart Healthy Choice,Grocery,Dals,117.0,1 kg,77
18,Satyam Rajma Sharmili,Satyam,Grocery,Pulses,129.0,500 gm,103
19,Satyam Chana Dal,Satyam,Grocery,Dals,77.0,500 gm,78
20,Tata Sampann 100% Organic Unpolished Chana Dal,Tata Sampann,Grocery,Dals,190.0,1 kg,37
21,KMK Almond American (Badam),Kanji Manji Kothari,Grocery,Dry Fruits,258.0,200 gm,70
22,Tata Sampann Organic Unpolished Rajma Red,Tata Sampann,Grocery,Pulses,142.0,500 gm,35
23,DMart Premia Almonds Salted,Premia,Grocery,Grocery/Dry Fruits,200.0,100 gm,63
24,ProV Select California Almonds,ProV,Grocery,Dry Fruits,749.0,500 gm,116
25,ProV Select California Independence,ProV,Grocery,Dry Fruits,1349.0,1 kg,54
26,Moong Dal,,Grocery,Dals,71.0,500 gm,89
27,Moong Dal,,Grocery,Dals,139.0,1 kg,142
28,Nutraj Cashews,Nutraj,Grocery,Dry Fruits,699.0,500 gm,80
29,Nutraj Cashews,Nutraj,Grocery,Dry Fruits,299.0,200 gm,34
30,Premia Regular Kaju (Cashews) - 320,Premia,Grocery,Grocery/Dry Fruits,121.0,100 gm,79
31,Premia Regular Kaju (Cashews) - 320,Premia,Grocery,Grocery/Dry Fruits,257.0,200 gm,79
32,Premia Regular Kaju (Cashews) - 320,Premia,Grocery,Grocery/Dry Fruits,595.0,500 gm,119
33,Moong Dal Chilti,,Grocery,Dals,70.0,500 gm,33
34,Moong Dal Chilti,,Grocery,Dals,140.0,1 kg,33
35,Tata Sampann Moong Dal,Tata,Grocery,Dals,175.0,1 kg,70
36,Tata Sampann Moong Dal,Tata,Grocery,Dals,88.0,500 gm,103
37,Kalbavi Cashews (Kaju),Kalbavi,Grocery,Dry Fruits,650.0,500 gm,136
38,Premia Kaju Tukda (Cashews),Premia,Grocery,Grocery/Dry Fruits,129.0,100 gm,30
39,Premia Kaju Tukda (Cashews),Premia,Grocery,Grocery/Dry Fruits,251.0,200 gm,144
40,Premia Kaju Tukda (Cashews),Premia,Grocery,Grocery/Dry Fruits,594.0,500 gm,109
41,Chowli Big,,Grocery,Pulses,64.0,500 gm,88
42,Chowli Premium,,Grocery,Pulses,82.0,500 gm,62
43,Premia Kaju,Premia,Grocery,Dry Fruits,552.0,500 gm,49
44,Chowli Small,,Grocery,Pulses,62.0,500 gm,142
45,Premia Cashew Broken,Premia,Grocery,Dry Fruits,537.0,500 gm,109
46,DMart Healthy Choice Unpolished Moong Dal,DMart Healthy Choice,Grocery,Dals,160.0,1 kg,25
47,Premia Kaju Special (Cashews),Premia,Grocery,Grocery/Dry Fruits,140.0,100 gm,63
48,Premia Kaju Special (Cashews),Premia,Grocery,Grocery/Dry Fruits,278.0,200 gm,118
49,Premia Kaju Special (Cashews),Premia,Grocery,Grocery/Dry Fruits,646.0,500 gm,102
50,Kokan Gem Goa Cashew Classic (Kaju),Kokan Gem,Grocery,Dry Fruits,650.0,500 gm,75
51,Kokan Gem Goa Cashew Premium (Kaju),Kokan Gem,Grocery,Dry Fruits,750.0,500 gm,114
52,Tata Sampann Moong Chilka,TATA,Grocery,Dals,84.0,500 gm,77
53,Chowli Red,,Grocery,Pulses,77.0,500 gm,56
54,Satyam Moong Dal,Satyam,Grocery,Dals,109.0,500 gm,93
55,Tata Sampann 100% Organic Unpolished Moong Dal,Tata Sampann,Grocery,Dals,275.0,1 kg,74
56,KMK Cashew Nut (Kaju),KMK,Grocery,Dry Fruits,325.0,200 gm,108
57,Premia Premium Kaju (Cashews) - 210,Premia,Grocery,Grocery/Dry Fruits,168.0,100 gm,61
58,Premia Premium Kaju (Cashews) - 210,Premia,Grocery,Grocery/Dry Fruits,341.0,200 gm,39
59,Premia Premium Kaju (Cashews) - 210,Premia,Grocery,Grocery/Dry Fruits,738.0,500 gm,134
60,24 Mantra Organic Moong Dal,24 Mantra Organic,Grocery,Dals,135.0,500 gm,35
61,Satyam Moong Chilti,Satyam,Grocery,Dals,100.0,500 gm,48
62,DMart Premia Cashews Salted,Premia,Grocery,Grocery/Dry Fruits,215.0,100 gm,74
63,Kokan Gem Goa Cashews Tukda,Kokan Gem,Grocery,Dry Fruits,550.0,500 gm,37
64,Satyam Chowla,Satyam,Grocery,Pulses,126.0,500 gm,81
65,Nutraj Broken Cashew,Nutraj,Grocery,Dry Fruits,499.0,400 gm,42
66,Organic Tattva Moong Dal Whole,Organic Tattva,Grocery,Dals,125.0,500 gm,108
67,DMart Premia Cashews Black Pepper,Premia,Grocery,Grocery/Dry Fruits,215.0,100 gm,125
68,ProV Select Cashews,ProV,Grocery,Dry Fruits,849.0,500 gm,124
69,Tur Dal Latur,,Grocery,Dals,78.0,500 gm,139
70,Tur Dal Latur,,Grocery,Dals,157.0,1 kg,48
71,Tata Sampann Toor Dal,TATA,Grocery,Dals,89.0,500 gm,31
72,Tata Sampann Toor Dal,TATA,Grocery,Dals,184.0,1 kg,80
73,Tur Dal Premium Gujarat,,Grocery,Dals,88.0,500 gm,88
74,Tur Dal Premium Gujarat,,Grocery,Dals,180.0,1 kg,43
75,Premia Pista Salty (Pistachio),Premia,Grocery,Grocery/Dry Fruits,184.0,100 gm,119
76,Premia Pista Salty (Pistachio),Premia,Grocery,Grocery/Dry Fruits,380.0,200 gm,113
77,DMart Healthy Choice Unpolished Toor Dal,DMart Healthy Choice,Grocery,Dals,184.0,1 kg,128
78,Premia Pista Plain (Pistachios),Premia,Grocery,Grocery/Dry Fruits,334.0,100 gm,103
79,Tata Sampann 100% Organic Unpolished Toor Dal,Tata Sampann,Grocery,Dals,260.0,1 kg,29
80,Nutraj Iranian Pistachios (Pista),Nutraj,Grocery,Dry Fruits,449.0,200 gm,126
81,Nutraj Premium California Pistachios (Pista),Nutraj,Grocery,Dry Fruits,379.0,200 gm,146
82,Premia Soyawadi,Premia,Grocery,Pulses,42.0,200 gm,56
83,Satyam Tur (Toor) Dal,Satyam,Grocery,Dals,109.0,500 gm,120
84,Nutrela Soya Mini Chunks,Nutrela,Grocery,Pulses,60.0,200 gm,33
85,Organic Tattva Arhar Tur Dal,Organic Tattva,Grocery,Dals,270.0,1 kg,144
86,Toor Dal Plain,,Grocery,Dals,750.0,5 kg,64
87,Nutrela Soya Chunks,Nutrela,Grocery,Pulses,60.0,200 gm,48
88,Toor Dal Oily,,Grocery,Dals,750.0,5 kg,100
89,24 Mantra Organic Tur Dal,24 Mantra,Grocery,Dals,260.0,1 kg,107
90,Premia Mini Soya Chunks,Premia,Grocery,Pulses,45.0,200 gm,140
91,Nutrela Soya Granules,Nutrela,Grocery,Pulses,60.0,200 gm,91
92,KMK Pista Magaz,KMK,Grocery,Dry Fruits,540.0,200 gm,107
93,Satyam Toor Dal Oily,Satyam,Grocery,Dals,109.0,500 gm,54
94,Carnival Classic Pista Magaz,Carnival,Grocery,Dry Fruits,700.0,250 gm,105
95,Premia Soyabean,Premia,Grocery,Pulses,94.0,500 gm,48
96,Carnival Classic California Pistachios,Carnival,Grocery,Dry Fruits,460.0,250 gm,49
97,KMK Pista Salted Irani (Pistachios),Kanji Manji Kothari,Grocery,Dry Fruits,319.0,200 gm,119
98,Tuwar Whole,,Grocery,Dals,70.0,500 gm,121
99,Saffola Mealmaker Soya Chunks,Saffola,Grocery,Pulses,60.0,200 gm,118
100,Udid (Urad) Dal,,Grocery,Dals,88.0,500 gm,132
101,Udid (Urad) Dal,,Grocery,Dals,173.0,1 kg,113
102,Desi Kabuli Chana,,Grocery,Pulses,95.0,500 gm,63
103,Desi Kabuli Chana,,Grocery,Pulses,190.0,1 kg,52
104,Udid,,Grocery,Dals,88.0,500 gm,101
105,Date Crown Fard (Khajur),Crown,Grocery,Grocery/Dry Fruits,234.0,500 gm,48
106,Tata Sampann Urad Dal,TATA,Grocery,Dals,90.0,500 gm,32
107,Tata Sampann Urad Dal,TATA,Grocery,Dals,179.0,1 kg,125
108,Emperor Dates - Deseeded Black Dates (Khajur),Emperor,Grocery,Grocery/Dry Fruits,145.0,500 gm,72
109,Satyam Kabuli Chana,Satyam,Grocery,Pulses,129.0,500 gm,122
110,Udid (Urad) Dal Chilti,,Grocery,Dals,81.0,500 gm,149
111,Falcon UAE Dates Seedless (Khajur),Falcon,Grocery,Grocery/Dry Fruits,190.0,500 gm,38
112,Premia Red Dried Dates (Kharik),Premia,Grocery,Grocery/Dry Fruits,51.0,100 gm,41
113,Premia Red Dried Dates (Kharik),Premia,Grocery,Grocery/Dry Fruits,97.0,200 gm,58
114,Premia Red Dried Dates (Kharik),Premia,Grocery,Grocery/Dry Fruits,212.0,500 gm,78
115,Emperor Royal Peacock Seeded Dates (Khajur),Emperor,Grocery,Grocery/Dry Fruits,125.0,500 gm,126
116,Emperor Dates Iranian Muzafati,Emperor,Grocery,Dry Fruits,170.0,400 gm,61
117,24 Mantra Organic Kabuli Chana,24 Mantra Organic,Grocery,Pulses,145.0,500 gm,91
118,Date Crown Bumaan Dates,Crown,Grocery,Grocery/Dry Fruits,140.0,500 gm,98
119,Satyam Udid (Urad) Dal,Satyam,Grocery,Dals,123.0,500 gm,47
120,Apis Royal Zahidi Premium Dates,Apis,Grocery,Dry Fruits,125.0,500 gm,70
121,King Solomon Medjoul Natural Dates,King Solomon,Grocery,Dry Fruits,990.0,500 gm,81
122,Premia Black Dried Dates (Kharik),Premia,Grocery,Grocery/Dry Fruits,81.0,200 gm,87
123,Falcon Safawi Dates,Falcon,Grocery,Dry Fruits,500.0,500 gm,59
124,Tata Sampann Organic Unpolished Kabuli Chana,Tata Sampann,Grocery,Pulses,147.0,500 gm,129
125,Organic Tattva Kabuli Chana,Organic Tattva,Grocery,Pulses,145.0,500 gm,78
126,Nutraj Dry Dates (Chuara-Khareek),Nutraj,Grocery,Dry Fruits,249.0,500 gm,110
127,Falcon Aqaba Dates,Falcon,Grocery,Grocery/Dry Fruits,135.0,500 gm,120
128,King Solomon Oriental Dates,King Solomon,Grocery,Dry Fruits,249.0,250 gm,122
129,Royal Delight Finest Oman Dates,Royal Delight,Grocery,Dry Fruits,249.0,400 gm,80
130,Shamim Iranian Wet Dates,Shamim,Grocery,Dry Fruits,200.0,400 gm,144
131,Emperor Premium Dates Zahidi,,Grocery,Dry Fruits,150.0,500 gm,58
132,Tata Sampann Organic Unpolished Urad Dal,Tata Sampann,Grocery,Dals,142.0,500 gm,78
133,Falcon UAE Dates Seeded,Falcon,Grocery,Grocery/Dry Fruits,150.0,500 gm,35
134,Organic Tattva Urad Dal White Split,Organic Tattva,Grocery,Dals,145.0,500 gm,32
135,Azmah Dates,Candor,Grocery,Dry Fruits,625.0,500 gm,77
136,Apis Premium Seeded Dates,,Grocery,Dry Fruits,120.0,500 gm,41
137,Royal Delight Finest Ajwa Dates,Royal Delight,Grocery,Dry Fruits,549.0,250 gm,78
138,Organic Tattva Urad Dal Whole White,Organic Tattva,Grocery,Dals,145.0,500 gm,64
139,Royal Delight Finest Mabroom Dates,Royal Delight,Grocery,Dry Fruits,425.0,250 gm,53
